Gender,Age,Type of Injury,Area,Type of Vehicle
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Motorcykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Motorcykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Sjælland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Motorcykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Motorcykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Motorcykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Andre
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Andre
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Andre
Mænd,0-17 år,Alvorligt tilskadekomne,Region Syddanmark,Andre
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Motorcykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Motorcykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Motorcykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Motorcykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Motorcykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Midtjylland,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Nordjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Nordjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Nordjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Nordjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Nordjylland,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Nordjylland,Knallert
