"Mænd";"0-17 år";"Personskade i alt";"Region Syddanmark";"Lastbil over 3.500 kg.";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Syddanmark";"Bus";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Syddanmark";"Motorcykel";0;2;1
"Mænd";"0-17 år";"Personskade i alt";"Region Syddanmark";"Knallert 45";0;0;1
"Mænd";"0-17 år";"Personskade i alt";"Region Syddanmark";"Knallert";18;11;14
"Mænd";"0-17 år";"Personskade i alt";"Region Syddanmark";"Cykel";6;10;6
"Mænd";"0-17 år";"Personskade i alt";"Region Syddanmark";"Fodgænger";5;5;8
"Mænd";"0-17 år";"Personskade i alt";"Region Syddanmark";"Andre";3;1;0
"Mænd";"0-17 år";"Personskade i alt";"Region Midtjylland";"Almindelig personbil";12;11;12
"Mænd";"0-17 år";"Personskade i alt";"Region Midtjylland";"Taxi";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Midtjylland";"Køretøj 0-3.500 kg under udrykning";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Midtjylland";"Varebil 0-3.500 kg.";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Midtjylland";"Lastbil over 3.500 kg.";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Midtjylland";"Bus";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Midtjylland";"Motorcykel";2;4;2
"Mænd";"0-17 år";"Personskade i alt";"Region Midtjylland";"Knallert 45";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Midtjylland";"Knallert";14;19;15
"Mænd";"0-17 år";"Personskade i alt";"Region Midtjylland";"Cykel";13;21;11
"Mænd";"0-17 år";"Personskade i alt";"Region Midtjylland";"Fodgænger";8;6;6
"Mænd";"0-17 år";"Personskade i alt";"Region Midtjylland";"Andre";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Nordjylland";"Almindelig personbil";5;6;12
"Mænd";"0-17 år";"Personskade i alt";"Region Nordjylland";"Taxi";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Nordjylland";"Køretøj 0-3.500 kg under udrykning";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Nordjylland";"Varebil 0-3.500 kg.";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Nordjylland";"Lastbil over 3.500 kg.";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Nordjylland";"Bus";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Nordjylland";"Motorcykel";0;0;1
"Mænd";"0-17 år";"Personskade i alt";"Region Nordjylland";"Knallert 45";1;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Nordjylland";"Knallert";9;10;12
"Mænd";"0-17 år";"Personskade i alt";"Region Nordjylland";"Cykel";8;2;5
